"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 04 19:07:26 GMT 2024","Mon Mar 04 19:07:26 GMT 2024","0","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 19:06:30 GMT 2024","Mon Mar 04 19:06:32 GMT 2024","2085","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 19:06:53 GMT 2024","Mon Mar 04 19:06:53 GMT 2024","307","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"skipped","Mon Mar 04 19:06:23 GMT 2024","Mon Mar 04 19:06:23 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Mon Mar 04 19:06:55 GMT 2024","Mon Mar 04 19:06:55 GMT 2024","439","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"skipped","Mon Mar 04 19:06:23 GMT 2024","Mon Mar 04 19:06:23 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Mon Mar 04 19:07:28 GMT 2024","Mon Mar 04 19:07:29 GMT 2024","448","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"broken","Mon Mar 04 19:06:23 GMT 2024","Mon Mar 04 19:06:23 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Mon Mar 04 19:08:26 GMT 2024","Mon Mar 04 19:08:27 GMT 2024","649","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"broken","Mon Mar 04 19:07:26 GMT 2024","Mon Mar 04 19:07:26 GMT 2024","1","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","createContextAndPage","createContextAndPage",""
"passed","Mon Mar 04 19:07:37 GMT 2024","Mon Mar 04 19:07:42 GMT 2024","4737","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"passed","Mon Mar 04 19:07:55 GMT 2024","Mon Mar 04 19:08:04 GMT 2024","9562","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"skipped","Mon Mar 04 19:06:23 GMT 2024","Mon Mar 04 19:06:23 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"passed","Mon Mar 04 19:06:34 GMT 2024","Mon Mar 04 19:06:36 GMT 2024","2082","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 19:07:31 GMT 2024","Mon Mar 04 19:07:31 GMT 2024","443","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"skipped","Mon Mar 04 19:07:26 GMT 2024","Mon Mar 04 19:07:26 GMT 2024","2","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 19:08:24 GMT 2024","Mon Mar 04 19:08:24 GMT 2024","857","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 19:08:27 GMT 2024","Mon Mar 04 19:08:29 GMT 2024","1649","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"broken","Mon Mar 04 19:05:46 GMT 2024","Mon Mar 04 19:06:16 GMT 2024","30562","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testE2EPurchaseWithCartValidation","testE2EPurchaseWithCartValidation",""
"passed","Mon Mar 04 19:07:45 GMT 2024","Mon Mar 04 19:07:53 GMT 2024","7742","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Mon Mar 04 19:06:48 GMT 2024","Mon Mar 04 19:06:48 GMT 2024","412","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 19:06:50 GMT 2024","Mon Mar 04 19:06:51 GMT 2024","326","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 19:06:24 GMT 2024","Mon Mar 04 19:06:24 GMT 2024","38","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Mon Mar 04 19:08:22 GMT 2024","Mon Mar 04 19:08:23 GMT 2024","756","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"skipped","Mon Mar 04 19:06:23 GMT 2024","Mon Mar 04 19:06:23 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Mon Mar 04 19:06:26 GMT 2024","Mon Mar 04 19:06:28 GMT 2024","2269","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 19:08:25 GMT 2024","Mon Mar 04 19:08:26 GMT 2024","752","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 19:08:31 GMT 2024","Mon Mar 04 19:08:34 GMT 2024","3224","Ecommerce store","Smoke tests","tests.ProdTest","tests.ProdTest","testProductViewDisplay","testProductViewDisplay",""
