"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 00:46:18 GMT 2024","Sun Feb 18 00:46:19 GMT 2024","935","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"broken","Sun Feb 18 00:47:34 GMT 2024","Sun Feb 18 00:47:34 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","closeContext","closeContext",""
"passed","Sun Feb 18 00:46:52 GMT 2024","Sun Feb 18 00:46:54 GMT 2024","2368","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"skipped","Sun Feb 18 00:46:32 GMT 2024","Sun Feb 18 00:46:32 GMT 2024","3","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Feb 18 00:47:15 GMT 2024","Sun Feb 18 00:47:15 GMT 2024","585","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Feb 18 00:47:03 GMT 2024","Sun Feb 18 00:47:04 GMT 2024","853","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"skipped","Sun Feb 18 00:47:34 GMT 2024","Sun Feb 18 00:47:34 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"skipped","Sun Feb 18 00:47:34 GMT 2024","Sun Feb 18 00:47:34 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Sun Feb 18 00:47:40 GMT 2024","Sun Feb 18 00:47:41 GMT 2024","956","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Feb 18 00:47:44 GMT 2024","Sun Feb 18 00:47:46 GMT 2024","1910","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"failed","Sun Feb 18 00:47:28 GMT 2024","Sun Feb 18 00:47:32 GMT 2024","4555","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"passed","Sun Feb 18 00:46:57 GMT 2024","Sun Feb 18 00:47:00 GMT 2024","2482","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Feb 18 00:47:18 GMT 2024","Sun Feb 18 00:47:18 GMT 2024","541","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Feb 18 00:47:23 GMT 2024","Sun Feb 18 00:47:23 GMT 2024","298","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Sun Feb 18 00:46:34 GMT 2024","Sun Feb 18 00:46:34 GMT 2024","41","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Sun Feb 18 00:47:12 GMT 2024","Sun Feb 18 00:47:13 GMT 2024","843","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
