"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 18:28:15 GMT 2024","Mon Mar 04 18:28:17 GMT 2024","2214","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"skipped","Mon Mar 04 18:28:23 GMT 2024","Mon Mar 04 18:28:23 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"broken","Mon Mar 04 18:28:23 GMT 2024","Mon Mar 04 18:28:23 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Mon Mar 04 18:28:26 GMT 2024","Mon Mar 04 18:28:28 GMT 2024","2318","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 18:29:43 GMT 2024","Mon Mar 04 18:29:43 GMT 2024","783","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 18:28:55 GMT 2024","Mon Mar 04 18:28:55 GMT 2024","351","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 18:29:21 GMT 2024","Mon Mar 04 18:29:30 GMT 2024","8980","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"passed","Mon Mar 04 18:28:49 GMT 2024","Mon Mar 04 18:28:50 GMT 2024","344","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 18:28:57 GMT 2024","Mon Mar 04 18:28:57 GMT 2024","356","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 18:28:30 GMT 2024","Mon Mar 04 18:28:32 GMT 2024","2091","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 18:29:01 GMT 2024","Mon Mar 04 18:29:01 GMT 2024","217","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Mon Mar 04 18:28:59 GMT 2024","Mon Mar 04 18:28:59 GMT 2024","163","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"passed","Mon Mar 04 18:29:44 GMT 2024","Mon Mar 04 18:29:45 GMT 2024","891","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 18:29:02 GMT 2024","Mon Mar 04 18:29:03 GMT 2024","180","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"failed","Mon Mar 04 18:28:19 GMT 2024","Mon Mar 04 18:28:22 GMT 2024","2286","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
