"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 05:19:18 GMT 2024","Wed Feb 21 05:19:20 GMT 2024","2251","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"skipped","Wed Feb 21 05:20:25 GMT 2024","Wed Feb 21 05:20:25 GMT 2024","1","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"skipped","Wed Feb 21 05:18:59 GMT 2024","Wed Feb 21 05:18:59 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Wed Feb 21 05:19:05 GMT 2024","Wed Feb 21 05:19:08 GMT 2024","2638","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Wed Feb 21 05:20:32 GMT 2024","Wed Feb 21 05:20:33 GMT 2024","1318","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Wed Feb 21 05:19:30 GMT 2024","Wed Feb 21 05:19:33 GMT 2024","2613","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Wed Feb 21 05:20:00 GMT 2024","Wed Feb 21 05:20:01 GMT 2024","212","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"passed","Wed Feb 21 05:18:42 GMT 2024","Wed Feb 21 05:18:44 GMT 2024","1347","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"passed","Wed Feb 21 05:19:12 GMT 2024","Wed Feb 21 05:19:14 GMT 2024","2184","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Wed Feb 21 05:19:44 GMT 2024","Wed Feb 21 05:19:45 GMT 2024","851","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"broken","Wed Feb 21 05:20:25 GMT 2024","Wed Feb 21 05:20:25 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","closeContext","closeContext",""
"passed","Wed Feb 21 05:19:52 GMT 2024","Wed Feb 21 05:19:53 GMT 2024","733","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 05:19:56 GMT 2024","Wed Feb 21 05:19:57 GMT 2024","975","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 05:20:07 GMT 2024","Wed Feb 21 05:20:08 GMT 2024","325","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"passed","Wed Feb 21 05:19:48 GMT 2024","Wed Feb 21 05:19:50 GMT 2024","1302","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 05:20:11 GMT 2024","Wed Feb 21 05:20:16 GMT 2024","4771","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"skipped","Wed Feb 21 05:18:59 GMT 2024","Wed Feb 21 05:18:59 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Wed Feb 21 05:19:36 GMT 2024","Wed Feb 21 05:19:38 GMT 2024","1222","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 05:19:02 GMT 2024","Wed Feb 21 05:19:02 GMT 2024","44","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"broken","Wed Feb 21 05:18:59 GMT 2024","Wed Feb 21 05:18:59 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"skipped","Wed Feb 21 05:18:59 GMT 2024","Wed Feb 21 05:18:59 GMT 2024","4","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Wed Feb 21 05:20:34 GMT 2024","Wed Feb 21 05:20:35 GMT 2024","1222","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Wed Feb 21 05:20:36 GMT 2024","Wed Feb 21 05:20:37 GMT 2024","1106","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Wed Feb 21 05:20:30 GMT 2024","Wed Feb 21 05:20:31 GMT 2024","1363","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Wed Feb 21 05:18:47 GMT 2024","Wed Feb 21 05:18:50 GMT 2024","3247","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Wed Feb 21 05:20:38 GMT 2024","Wed Feb 21 05:20:40 GMT 2024","1864","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Wed Feb 21 05:19:41 GMT 2024","Wed Feb 21 05:19:42 GMT 2024","833","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"failed","Wed Feb 21 05:18:54 GMT 2024","Wed Feb 21 05:18:57 GMT 2024","2506","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"failed","Wed Feb 21 05:20:21 GMT 2024","Wed Feb 21 05:20:24 GMT 2024","2883","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Wed Feb 21 05:20:04 GMT 2024","Wed Feb 21 05:20:04 GMT 2024","312","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Wed Feb 21 05:20:28 GMT 2024","Wed Feb 21 05:20:29 GMT 2024","617","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Wed Feb 21 05:19:24 GMT 2024","Wed Feb 21 05:19:26 GMT 2024","2575","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
