"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 16:50:06 GMT 2024","Sun Mar 03 16:50:16 GMT 2024","10270","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"skipped","Sun Mar 03 16:49:07 GMT 2024","Sun Mar 03 16:49:07 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Mar 03 16:48:55 GMT 2024","Sun Mar 03 16:48:56 GMT 2024","715","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"passed","Sun Mar 03 16:50:23 GMT 2024","Sun Mar 03 16:50:24 GMT 2024","754","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 16:49:56 GMT 2024","Sun Mar 03 16:50:04 GMT 2024","7849","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Sun Mar 03 16:49:34 GMT 2024","Sun Mar 03 16:49:35 GMT 2024","379","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:49:32 GMT 2024","Sun Mar 03 16:49:33 GMT 2024","490","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:48:58 GMT 2024","Sun Mar 03 16:49:01 GMT 2024","3175","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Mar 03 16:49:36 GMT 2024","Sun Mar 03 16:49:37 GMT 2024","352","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:49:19 GMT 2024","Sun Mar 03 16:49:22 GMT 2024","2087","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 16:50:21 GMT 2024","Sun Mar 03 16:50:21 GMT 2024","761","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 16:49:46 GMT 2024","Sun Mar 03 16:49:46 GMT 2024","282","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Sun Mar 03 16:49:50 GMT 2024","Sun Mar 03 16:49:54 GMT 2024","4373","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"skipped","Sun Mar 03 16:49:07 GMT 2024","Sun Mar 03 16:49:07 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Sun Mar 03 16:50:22 GMT 2024","Sun Mar 03 16:50:23 GMT 2024","800","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 16:49:42 GMT 2024","Sun Mar 03 16:49:42 GMT 2024","374","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:49:40 GMT 2024","Sun Mar 03 16:49:41 GMT 2024","359","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:50:19 GMT 2024","Sun Mar 03 16:50:19 GMT 2024","550","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"broken","Sun Mar 03 16:49:07 GMT 2024","Sun Mar 03 16:49:07 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Sun Mar 03 16:49:24 GMT 2024","Sun Mar 03 16:49:26 GMT 2024","2244","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 16:50:24 GMT 2024","Sun Mar 03 16:50:25 GMT 2024","1144","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 16:49:48 GMT 2024","Sun Mar 03 16:49:48 GMT 2024","180","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"passed","Sun Mar 03 16:49:44 GMT 2024","Sun Mar 03 16:49:44 GMT 2024","200","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"passed","Sun Mar 03 16:49:09 GMT 2024","Sun Mar 03 16:49:09 GMT 2024","22","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"failed","Sun Mar 03 16:49:03 GMT 2024","Sun Mar 03 16:49:06 GMT 2024","2293","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Mar 03 16:49:11 GMT 2024","Sun Mar 03 16:49:13 GMT 2024","2334","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 16:49:38 GMT 2024","Sun Mar 03 16:49:39 GMT 2024","478","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:49:28 GMT 2024","Sun Mar 03 16:49:30 GMT 2024","2257","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"skipped","Sun Mar 03 16:49:07 GMT 2024","Sun Mar 03 16:49:07 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Sun Mar 03 16:49:15 GMT 2024","Sun Mar 03 16:49:17 GMT 2024","2076","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 16:50:19 GMT 2024","Sun Mar 03 16:50:20 GMT 2024","846","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
