"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 17:27:26 GMT 2024","Sun Feb 25 17:27:26 GMT 2024","269","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Sun Feb 25 17:27:08 GMT 2024","Sun Feb 25 17:27:10 GMT 2024","2246","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Feb 25 17:27:56 GMT 2024","Sun Feb 25 17:27:56 GMT 2024","812","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Feb 25 17:27:14 GMT 2024","Sun Feb 25 17:27:15 GMT 2024","331","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Feb 25 17:26:51 GMT 2024","Sun Feb 25 17:26:53 GMT 2024","2266","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Feb 25 17:27:52 GMT 2024","Sun Feb 25 17:27:53 GMT 2024","859","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"broken","Sun Feb 25 17:26:48 GMT 2024","Sun Feb 25 17:26:48 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Sun Feb 25 17:26:40 GMT 2024","Sun Feb 25 17:26:43 GMT 2024","2764","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Feb 25 17:27:04 GMT 2024","Sun Feb 25 17:27:06 GMT 2024","2241","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Feb 25 17:27:20 GMT 2024","Sun Feb 25 17:27:20 GMT 2024","367","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Feb 25 17:27:51 GMT 2024","Sun Feb 25 17:27:51 GMT 2024","397","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Sun Feb 25 17:27:16 GMT 2024","Sun Feb 25 17:27:16 GMT 2024","319","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"skipped","Sun Feb 25 17:26:48 GMT 2024","Sun Feb 25 17:26:48 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Feb 25 17:27:00 GMT 2024","Sun Feb 25 17:27:02 GMT 2024","2084","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"skipped","Sun Feb 25 17:26:48 GMT 2024","Sun Feb 25 17:26:48 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"failed","Sun Feb 25 17:26:45 GMT 2024","Sun Feb 25 17:26:47 GMT 2024","2283","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
