"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 03 16:58:18 GMT 2024","Sun Mar 03 16:58:20 GMT 2024","2328","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"skipped","Sun Mar 03 16:58:21 GMT 2024","Sun Mar 03 16:58:21 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Sun Mar 03 16:58:09 GMT 2024","Sun Mar 03 16:58:10 GMT 2024","682","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"passed","Sun Mar 03 16:58:46 GMT 2024","Sun Mar 03 16:58:48 GMT 2024","2294","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 16:58:23 GMT 2024","Sun Mar 03 16:58:23 GMT 2024","24","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Sun Mar 03 16:58:56 GMT 2024","Sun Mar 03 16:58:56 GMT 2024","381","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:58:53 GMT 2024","Sun Mar 03 16:58:54 GMT 2024","488","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:58:59 GMT 2024","Sun Mar 03 16:58:59 GMT 2024","558","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:59:04 GMT 2024","Sun Mar 03 16:59:04 GMT 2024","427","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"broken","Sun Mar 03 16:58:21 GMT 2024","Sun Mar 03 16:58:21 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Sun Mar 03 16:58:26 GMT 2024","Sun Mar 03 16:58:28 GMT 2024","2288","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 16:58:36 GMT 2024","Sun Mar 03 16:58:38 GMT 2024","2089","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 16:59:07 GMT 2024","Sun Mar 03 16:59:07 GMT 2024","283","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"passed","Sun Mar 03 16:58:31 GMT 2024","Sun Mar 03 16:58:33 GMT 2024","2084","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 16:59:01 GMT 2024","Sun Mar 03 16:59:02 GMT 2024","454","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:58:51 GMT 2024","Sun Mar 03 16:58:51 GMT 2024","564","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 16:58:41 GMT 2024","Sun Mar 03 16:58:43 GMT 2024","2224","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"skipped","Sun Mar 03 16:58:21 GMT 2024","Sun Mar 03 16:58:21 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"skipped","Sun Mar 03 16:58:21 GMT 2024","Sun Mar 03 16:58:21 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Sun Mar 03 16:58:12 GMT 2024","Sun Mar 03 16:58:15 GMT 2024","2759","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
