"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 17:52:37 GMT 2024","Sun Mar 03 17:52:44 GMT 2024","7762","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Sun Mar 03 17:52:15 GMT 2024","Sun Mar 03 17:52:18 GMT 2024","2249","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"skipped","Sun Mar 03 17:52:23 GMT 2024","Sun Mar 03 17:52:23 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"unknown","Sun Mar 03 17:52:07 GMT 2024","Sun Mar 03 17:52:07 GMT 2024","0","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 17:52:30 GMT 2024","Sun Mar 03 17:52:34 GMT 2024","4394","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"unknown","Sun Mar 03 17:52:07 GMT 2024","Sun Mar 03 17:52:07 GMT 2024","0","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Sun Mar 03 17:52:11 GMT 2024","Sun Mar 03 17:52:13 GMT 2024","2711","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"unknown","Sun Mar 03 17:52:07 GMT 2024","Sun Mar 03 17:52:07 GMT 2024","0","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Sun Mar 03 17:52:46 GMT 2024","Sun Mar 03 17:52:56 GMT 2024","10261","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"skipped","Sun Mar 03 17:52:23 GMT 2024","Sun Mar 03 17:52:23 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"unknown","Sun Mar 03 17:52:07 GMT 2024","Sun Mar 03 17:52:07 GMT 2024","0","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:52:28 GMT 2024","Sun Mar 03 17:52:28 GMT 2024","192","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"passed","Sun Mar 03 17:52:26 GMT 2024","Sun Mar 03 17:52:27 GMT 2024","267","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Sun Mar 03 17:52:08 GMT 2024","Sun Mar 03 17:52:09 GMT 2024","688","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"passed","Sun Mar 03 17:52:25 GMT 2024","Sun Mar 03 17:52:25 GMT 2024","170","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"failed","Sun Mar 03 17:52:20 GMT 2024","Sun Mar 03 17:52:22 GMT 2024","2258","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"unknown","Sun Mar 03 17:52:07 GMT 2024","Sun Mar 03 17:52:07 GMT 2024","1","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"broken","Sun Mar 03 17:52:23 GMT 2024","Sun Mar 03 17:52:23 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
