2024-02-03 08:34:03.649 INFO  org.testng.internal.Utils - [TestNG] Running:
2024-02-03 08:35:29.606 INFO  BaseTest - ?

tests.NavigationTest.testLandingURL   ----   PASS	 Run Time: 0 min 0 sec 49 ms

2024-02-03 08:35:29.619 INFO  BaseTest - Page closed.
2024-02-03 08:35:29.694 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:29.699 INFO  BaseTest - Context closed.
2024-02-03 08:35:29.704 INFO  BaseTest - RUN tests.NavigationTest.testLogOutNavigate
2024-02-03 08:35:29.712 INFO  BaseTest - Context created.
2024-02-03 08:35:29.715 INFO  BaseTest - Tracing started
2024-02-03 08:35:29.871 INFO  BaseTest - Page created.
2024-02-03 08:35:30.869 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:31.677 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:31.704 INFO  BaseTest - ?

tests.NavigationTest.testLogOutNavigate   ----   PASS	 Run Time: 0 min 0 sec 831 ms

2024-02-03 08:35:31.718 INFO  BaseTest - Page closed.
2024-02-03 08:35:31.775 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:31.784 INFO  BaseTest - Context closed.
2024-02-03 08:35:31.788 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:35:31.797 INFO  BaseTest - Context created.
2024-02-03 08:35:31.800 INFO  BaseTest - Tracing started
2024-02-03 08:35:31.945 INFO  BaseTest - Page created.
2024-02-03 08:35:33.025 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:33.605 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(1)   ----   PASS	 Run Time: 0 min 0 sec 575 ms

2024-02-03 08:35:33.611 INFO  BaseTest - Page closed.
2024-02-03 08:35:33.656 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:33.664 INFO  BaseTest - Context closed.
2024-02-03 08:35:33.667 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:35:33.674 INFO  BaseTest - Context created.
2024-02-03 08:35:33.677 INFO  BaseTest - Tracing started
2024-02-03 08:35:33.865 INFO  BaseTest - Page created.
2024-02-03 08:35:35.042 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:35.380 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(2)   ----   PASS	 Run Time: 0 min 0 sec 334 ms

2024-02-03 08:35:35.400 INFO  BaseTest - Page closed.
2024-02-03 08:35:35.452 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:35.456 INFO  BaseTest - Context closed.
2024-02-03 08:35:35.459 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:35:35.465 INFO  BaseTest - Context created.
2024-02-03 08:35:35.468 INFO  BaseTest - Tracing started
2024-02-03 08:35:35.577 INFO  BaseTest - Page created.
2024-02-03 08:35:36.658 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:37.014 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(3)   ----   PASS	 Run Time: 0 min 0 sec 351 ms

2024-02-03 08:35:37.026 INFO  BaseTest - Page closed.
2024-02-03 08:35:37.069 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:37.084 INFO  BaseTest - Context closed.
2024-02-03 08:35:37.087 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:35:37.096 INFO  BaseTest - Context created.
2024-02-03 08:35:37.099 INFO  BaseTest - Tracing started
2024-02-03 08:35:37.233 INFO  BaseTest - Page created.
