"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 17:47:24 GMT 2024","Mon Mar 04 17:47:25 GMT 2024","790","Ecommerce store (smoke tests)","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 17:46:14 GMT 2024","Mon Mar 04 17:46:17 GMT 2024","2185","Ecommerce store (smoke tests)","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"broken","Mon Mar 04 17:45:54 GMT 2024","Mon Mar 04 17:45:54 GMT 2024","0","Ecommerce store (smoke tests)","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Mon Mar 04 17:45:59 GMT 2024","Mon Mar 04 17:46:01 GMT 2024","2222","Ecommerce store (smoke tests)","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 17:47:23 GMT 2024","Mon Mar 04 17:47:23 GMT 2024","502","Ecommerce store (smoke tests)","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Mon Mar 04 17:46:55 GMT 2024","Mon Mar 04 17:47:02 GMT 2024","7498","Ecommerce store (smoke tests)","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Mon Mar 04 17:46:48 GMT 2024","Mon Mar 04 17:46:53 GMT 2024","4377","Ecommerce store (smoke tests)","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"skipped","Mon Mar 04 17:45:54 GMT 2024","Mon Mar 04 17:45:54 GMT 2024","0","Ecommerce store (smoke tests)","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Mon Mar 04 17:46:29 GMT 2024","Mon Mar 04 17:46:29 GMT 2024","312","Ecommerce store (smoke tests)","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 17:47:31 GMT 2024","Mon Mar 04 17:47:34 GMT 2024","2477","Ecommerce store (smoke tests)","Smoke tests","tests.ProdTest","tests.ProdTest","testProductViewDisplay","testProductViewDisplay",""
