"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 18:41:32 GMT 2024","Mon Mar 04 18:41:41 GMT 2024","9619","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"passed","Mon Mar 04 18:40:40 GMT 2024","Mon Mar 04 18:40:43 GMT 2024","2235","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 18:41:03 GMT 2024","Mon Mar 04 18:41:04 GMT 2024","370","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 18:41:58 GMT 2024","Mon Mar 04 18:42:00 GMT 2024","1572","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"failed","Mon Mar 04 18:41:44 GMT 2024","Mon Mar 04 18:41:49 GMT 2024","5215","Ecommerce store","Smoke tests","tests.CartTest","tests.CartTest","testProductRemovalFromCart","testProductRemovalFromCart",""
"passed","Mon Mar 04 18:40:35 GMT 2024","Mon Mar 04 18:40:38 GMT 2024","2084","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 18:41:56 GMT 2024","Mon Mar 04 18:41:57 GMT 2024","780","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 18:40:07 GMT 2024","Mon Mar 04 18:40:10 GMT 2024","2774","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Mon Mar 04 18:40:31 GMT 2024","Mon Mar 04 18:40:33 GMT 2024","2092","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 18:41:06 GMT 2024","Mon Mar 04 18:41:06 GMT 2024","268","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"passed","Mon Mar 04 18:40:45 GMT 2024","Mon Mar 04 18:40:48 GMT 2024","2284","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"broken","Mon Mar 04 18:41:50 GMT 2024","Mon Mar 04 18:41:50 GMT 2024","0","Ecommerce store","Smoke tests","tests.CartTest","tests.CartTest","closeContext","closeContext",""
"passed","Mon Mar 04 18:40:23 GMT 2024","Mon Mar 04 18:40:23 GMT 2024","26","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"skipped","Mon Mar 04 18:40:21 GMT 2024","Mon Mar 04 18:40:21 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Mon Mar 04 18:40:56 GMT 2024","Mon Mar 04 18:40:56 GMT 2024","435","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 18:41:11 GMT 2024","Mon Mar 04 18:41:12 GMT 2024","243","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"passed","Mon Mar 04 18:40:04 GMT 2024","Mon Mar 04 18:40:05 GMT 2024","798","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"passed","Mon Mar 04 18:41:55 GMT 2024","Mon Mar 04 18:41:56 GMT 2024","811","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 18:41:52 GMT 2024","Mon Mar 04 18:41:53 GMT 2024","595","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Mon Mar 04 18:42:02 GMT 2024","Mon Mar 04 18:42:05 GMT 2024","2695","Ecommerce store","Smoke tests","tests.ProdTest","tests.ProdTest","testProductViewDisplay","testProductViewDisplay",""
"failed","Mon Mar 04 18:40:18 GMT 2024","Mon Mar 04 18:40:20 GMT 2024","2331","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Mon Mar 04 18:41:53 GMT 2024","Mon Mar 04 18:41:54 GMT 2024","875","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 18:41:22 GMT 2024","Mon Mar 04 18:41:30 GMT 2024","7831","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Mon Mar 04 18:40:58 GMT 2024","Mon Mar 04 18:40:59 GMT 2024","574","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 18:40:50 GMT 2024","Mon Mar 04 18:40:51 GMT 2024","533","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Mon Mar 04 18:41:57 GMT 2024","Mon Mar 04 18:41:58 GMT 2024","735","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Mon Mar 04 18:40:26 GMT 2024","Mon Mar 04 18:40:28 GMT 2024","2257","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Mon Mar 04 18:41:09 GMT 2024","Mon Mar 04 18:41:09 GMT 2024","397","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Mon Mar 04 18:41:14 GMT 2024","Mon Mar 04 18:41:19 GMT 2024","4577","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"broken","Mon Mar 04 18:40:21 GMT 2024","Mon Mar 04 18:40:21 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Mon Mar 04 18:40:13 GMT 2024","Mon Mar 04 18:40:15 GMT 2024","2255","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Mon Mar 04 18:41:01 GMT 2024","Mon Mar 04 18:41:01 GMT 2024","498","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"skipped","Mon Mar 04 18:40:21 GMT 2024","Mon Mar 04 18:40:21 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Mon Mar 04 18:40:53 GMT 2024","Mon Mar 04 18:40:53 GMT 2024","404","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
