"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 23:35:57 GMT 2024","Thu Mar 07 23:35:58 GMT 2024","366","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Thu Mar 07 23:35:32 GMT 2024","Thu Mar 07 23:35:34 GMT 2024","2100","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Thu Mar 07 23:35:09 GMT 2024","Thu Mar 07 23:35:12 GMT 2024","2803","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Thu Mar 07 23:35:55 GMT 2024","Thu Mar 07 23:35:55 GMT 2024","415","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Thu Mar 07 23:36:45 GMT 2024","Thu Mar 07 23:36:57 GMT 2024","12263","Ecommerce store","Smoke tests","tests.CartTest","tests.CartTest","testProductRemovalFromCart","testProductRemovalFromCart",""
"passed","Thu Mar 07 23:37:09 GMT 2024","Thu Mar 07 23:37:12 GMT 2024","2750","Ecommerce store","Smoke tests","tests.ProdTest","tests.ProdTest","testProductViewDisplay","testProductViewDisplay",""
"passed","Thu Mar 07 23:37:04 GMT 2024","Thu Mar 07 23:37:05 GMT 2024","732","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Thu Mar 07 23:35:15 GMT 2024","Thu Mar 07 23:35:17 GMT 2024","2263","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Thu Mar 07 23:36:33 GMT 2024","Thu Mar 07 23:36:42 GMT 2024","9500","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"passed","Thu Mar 07 23:36:05 GMT 2024","Thu Mar 07 23:36:05 GMT 2024","456","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Thu Mar 07 23:36:13 GMT 2024","Thu Mar 07 23:36:13 GMT 2024","281","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"passed","Thu Mar 07 23:35:47 GMT 2024","Thu Mar 07 23:35:49 GMT 2024","2291","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Thu Mar 07 23:35:42 GMT 2024","Thu Mar 07 23:35:44 GMT 2024","2292","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Thu Mar 07 23:37:06 GMT 2024","Thu Mar 07 23:37:07 GMT 2024","1666","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Thu Mar 07 23:37:00 GMT 2024","Thu Mar 07 23:37:00 GMT 2024","590","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Thu Mar 07 23:36:07 GMT 2024","Thu Mar 07 23:36:08 GMT 2024","264","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"failed","Thu Mar 07 23:35:20 GMT 2024","Thu Mar 07 23:35:22 GMT 2024","2344","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"broken","Thu Mar 07 23:35:23 GMT 2024","Thu Mar 07 23:35:23 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Thu Mar 07 23:36:10 GMT 2024","Thu Mar 07 23:36:10 GMT 2024","413","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Thu Mar 07 23:36:15 GMT 2024","Thu Mar 07 23:36:20 GMT 2024","4614","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"passed","Thu Mar 07 23:35:07 GMT 2024","Thu Mar 07 23:35:07 GMT 2024","372","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"passed","Thu Mar 07 23:35:52 GMT 2024","Thu Mar 07 23:35:52 GMT 2024","494","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Thu Mar 07 23:37:03 GMT 2024","Thu Mar 07 23:37:04 GMT 2024","795","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Thu Mar 07 23:37:01 GMT 2024","Thu Mar 07 23:37:02 GMT 2024","770","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Thu Mar 07 23:35:27 GMT 2024","Thu Mar 07 23:35:30 GMT 2024","2294","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Thu Mar 07 23:36:02 GMT 2024","Thu Mar 07 23:36:03 GMT 2024","424","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Thu Mar 07 23:35:25 GMT 2024","Thu Mar 07 23:35:25 GMT 2024","25","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Thu Mar 07 23:36:00 GMT 2024","Thu Mar 07 23:36:00 GMT 2024","483","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
