"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 17:12:00 GMT 2024","Sun Mar 03 17:12:00 GMT 2024","760","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 17:11:06 GMT 2024","Sun Mar 03 17:11:06 GMT 2024","315","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:11:10 GMT 2024","Sun Mar 03 17:11:10 GMT 2024","410","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:10:58 GMT 2024","Sun Mar 03 17:11:00 GMT 2024","2257","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"broken","Sun Mar 03 17:11:19 GMT 2024","Sun Mar 03 17:11:53 GMT 2024","34164","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"passed","Sun Mar 03 17:10:41 GMT 2024","Sun Mar 03 17:10:44 GMT 2024","2327","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"broken","Sun Mar 03 17:11:55 GMT 2024","Sun Mar 03 17:11:55 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","closeContext","closeContext",""
"failed","Sun Mar 03 17:10:35 GMT 2024","Sun Mar 03 17:10:37 GMT 2024","2273","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Mar 03 17:10:30 GMT 2024","Sun Mar 03 17:10:33 GMT 2024","2228","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Mar 03 17:11:04 GMT 2024","Sun Mar 03 17:11:05 GMT 2024","367","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:11:12 GMT 2024","Sun Mar 03 17:11:12 GMT 2024","336","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"broken","Sun Mar 03 17:10:38 GMT 2024","Sun Mar 03 17:10:38 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Sun Mar 03 17:11:08 GMT 2024","Sun Mar 03 17:11:08 GMT 2024","485","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"skipped","Sun Mar 03 17:10:38 GMT 2024","Sun Mar 03 17:10:38 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Sun Mar 03 17:11:17 GMT 2024","Sun Mar 03 17:11:18 GMT 2024","176","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"passed","Sun Mar 03 17:10:54 GMT 2024","Sun Mar 03 17:10:56 GMT 2024","2260","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"skipped","Sun Mar 03 17:10:38 GMT 2024","Sun Mar 03 17:10:38 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Sun Mar 03 17:11:56 GMT 2024","Sun Mar 03 17:11:57 GMT 2024","563","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Sun Mar 03 17:11:02 GMT 2024","Sun Mar 03 17:11:03 GMT 2024","482","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
