"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 17:00:58 GMT 2024","Sun Mar 03 17:00:59 GMT 2024","434","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:01:03 GMT 2024","Sun Mar 03 17:01:04 GMT 2024","519","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"skipped","Sun Mar 03 17:00:19 GMT 2024","Sun Mar 03 17:00:19 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Sun Mar 03 17:01:11 GMT 2024","Sun Mar 03 17:01:11 GMT 2024","283","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"passed","Sun Mar 03 17:01:56 GMT 2024","Sun Mar 03 17:01:57 GMT 2024","587","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Sun Mar 03 17:00:28 GMT 2024","Sun Mar 03 17:00:31 GMT 2024","2084","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:02:02 GMT 2024","Sun Mar 03 17:02:04 GMT 2024","1644","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 17:01:16 GMT 2024","Sun Mar 03 17:01:16 GMT 2024","260","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"broken","Sun Mar 03 17:01:54 GMT 2024","Sun Mar 03 17:01:54 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","closeContext","closeContext",""
"passed","Sun Mar 03 17:00:24 GMT 2024","Sun Mar 03 17:00:26 GMT 2024","2232","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:00:07 GMT 2024","Sun Mar 03 17:00:08 GMT 2024","698","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"failed","Sun Mar 03 17:00:16 GMT 2024","Sun Mar 03 17:00:18 GMT 2024","2322","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Mar 03 17:01:13 GMT 2024","Sun Mar 03 17:01:14 GMT 2024","391","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Sun Mar 03 17:01:08 GMT 2024","Sun Mar 03 17:01:09 GMT 2024","435","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:01:01 GMT 2024","Sun Mar 03 17:01:01 GMT 2024","430","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"skipped","Sun Mar 03 17:00:19 GMT 2024","Sun Mar 03 17:00:19 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"broken","Sun Mar 03 17:01:19 GMT 2024","Sun Mar 03 17:01:53 GMT 2024","34184","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"passed","Sun Mar 03 17:01:59 GMT 2024","Sun Mar 03 17:02:00 GMT 2024","803","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"skipped","Sun Mar 03 17:01:54 GMT 2024","Sun Mar 03 17:01:54 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"passed","Sun Mar 03 17:00:21 GMT 2024","Sun Mar 03 17:00:21 GMT 2024","25","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Sun Mar 03 17:01:57 GMT 2024","Sun Mar 03 17:01:58 GMT 2024","904","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 17:02:00 GMT 2024","Sun Mar 03 17:02:01 GMT 2024","766","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 17:00:33 GMT 2024","Sun Mar 03 17:00:35 GMT 2024","2077","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"skipped","Sun Mar 03 17:01:54 GMT 2024","Sun Mar 03 17:01:54 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Sun Mar 03 17:00:56 GMT 2024","Sun Mar 03 17:00:56 GMT 2024","502","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:00:43 GMT 2024","Sun Mar 03 17:00:45 GMT 2024","2275","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:00:10 GMT 2024","Sun Mar 03 17:00:13 GMT 2024","2808","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"broken","Sun Mar 03 17:00:19 GMT 2024","Sun Mar 03 17:00:19 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Sun Mar 03 17:01:06 GMT 2024","Sun Mar 03 17:01:06 GMT 2024","393","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:00:38 GMT 2024","Sun Mar 03 17:00:40 GMT 2024","2251","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:02:01 GMT 2024","Sun Mar 03 17:02:02 GMT 2024","757","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"skipped","Sun Mar 03 17:00:19 GMT 2024","Sun Mar 03 17:00:19 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
