"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 21:47:36 GMT 2024","Sun Mar 03 21:47:41 GMT 2024","4588","Ecommerce store (smoke tests)","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"passed","Sun Mar 03 21:47:22 GMT 2024","Sun Mar 03 21:47:23 GMT 2024","364","Ecommerce store (smoke tests)","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 21:46:54 GMT 2024","Sun Mar 03 21:46:54 GMT 2024","50","Ecommerce store (smoke tests)","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Sun Mar 03 21:47:14 GMT 2024","Sun Mar 03 21:47:16 GMT 2024","2265","Ecommerce store (smoke tests)","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"skipped","Sun Mar 03 21:48:29 GMT 2024","Sun Mar 03 21:48:29 GMT 2024","0","Ecommerce store (home page tests)","Home tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Sun Mar 03 21:47:32 GMT 2024","Sun Mar 03 21:47:32 GMT 2024","322","Ecommerce store (smoke tests)","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Sun Mar 03 21:48:16 GMT 2024","Sun Mar 03 21:48:19 GMT 2024","2421","Ecommerce store (home page tests)","Home tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Mar 03 21:47:20 GMT 2024","Sun Mar 03 21:47:21 GMT 2024","391","Ecommerce store (smoke tests)","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 21:47:24 GMT 2024","Sun Mar 03 21:47:25 GMT 2024","504","Ecommerce store (smoke tests)","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"broken","Sun Mar 03 21:48:29 GMT 2024","Sun Mar 03 21:48:29 GMT 2024","0","Ecommerce store (home page tests)","Home tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
