"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 22:09:36 GMT 2024","Wed Feb 21 22:09:37 GMT 2024","781","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Wed Feb 21 22:09:38 GMT 2024","Wed Feb 21 22:09:38 GMT 2024","816","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"broken","Wed Feb 21 22:09:34 GMT 2024","Wed Feb 21 22:09:34 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","closeContext","closeContext",""
"passed","Wed Feb 21 22:09:03 GMT 2024","Wed Feb 21 22:09:04 GMT 2024","376","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 22:09:01 GMT 2024","Wed Feb 21 22:09:02 GMT 2024","544","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"broken","Wed Feb 21 22:09:27 GMT 2024","Wed Feb 21 22:09:32 GMT 2024","4599","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"passed","Wed Feb 21 22:09:05 GMT 2024","Wed Feb 21 22:09:06 GMT 2024","334","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 22:09:07 GMT 2024","Wed Feb 21 22:09:08 GMT 2024","220","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"skipped","Wed Feb 21 22:08:30 GMT 2024","Wed Feb 21 22:08:30 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Wed Feb 21 22:08:57 GMT 2024","Wed Feb 21 22:08:58 GMT 2024","359","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 22:09:20 GMT 2024","Wed Feb 21 22:09:26 GMT 2024","5967","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Wed Feb 21 22:09:39 GMT 2024","Wed Feb 21 22:09:40 GMT 2024","926","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"failed","Wed Feb 21 22:08:27 GMT 2024","Wed Feb 21 22:08:29 GMT 2024","2308","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"skipped","Wed Feb 21 22:08:30 GMT 2024","Wed Feb 21 22:08:30 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayOnThePage","testProductDisplayOnThePage",""
"passed","Wed Feb 21 22:09:11 GMT 2024","Wed Feb 21 22:09:11 GMT 2024","202","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"passed","Wed Feb 21 22:08:55 GMT 2024","Wed Feb 21 22:08:56 GMT 2024","489","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 22:09:40 GMT 2024","Wed Feb 21 22:09:41 GMT 2024","669","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Wed Feb 21 22:08:32 GMT 2024","Wed Feb 21 22:08:32 GMT 2024","26","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Wed Feb 21 22:08:42 GMT 2024","Wed Feb 21 22:08:45 GMT 2024","2099","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Wed Feb 21 22:08:20 GMT 2024","Wed Feb 21 22:08:20 GMT 2024","694","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"skipped","Wed Feb 21 22:08:30 GMT 2024","Wed Feb 21 22:08:30 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Wed Feb 21 22:08:59 GMT 2024","Wed Feb 21 22:09:00 GMT 2024","390","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Wed Feb 21 22:08:47 GMT 2024","Wed Feb 21 22:08:49 GMT 2024","2287","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Wed Feb 21 22:09:09 GMT 2024","Wed Feb 21 22:09:10 GMT 2024","269","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"passed","Wed Feb 21 22:08:38 GMT 2024","Wed Feb 21 22:08:40 GMT 2024","2092","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Wed Feb 21 22:09:41 GMT 2024","Wed Feb 21 22:09:43 GMT 2024","1201","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Wed Feb 21 22:09:35 GMT 2024","Wed Feb 21 22:09:36 GMT 2024","617","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Wed Feb 21 22:09:13 GMT 2024","Wed Feb 21 22:09:17 GMT 2024","4493","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"passed","Wed Feb 21 22:08:34 GMT 2024","Wed Feb 21 22:08:36 GMT 2024","2266","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"broken","Wed Feb 21 22:08:30 GMT 2024","Wed Feb 21 22:08:30 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Wed Feb 21 22:08:22 GMT 2024","Wed Feb 21 22:08:25 GMT 2024","2710","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Wed Feb 21 22:08:51 GMT 2024","Wed Feb 21 22:08:53 GMT 2024","2320","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
