"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 25 17:22:21 GMT 2024","Sun Feb 25 17:22:21 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Sun Feb 25 17:23:12 GMT 2024","Sun Feb 25 17:23:17 GMT 2024","4531","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"passed","Sun Feb 25 17:23:28 GMT 2024","Sun Feb 25 17:23:29 GMT 2024","819","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"skipped","Sun Feb 25 17:22:21 GMT 2024","Sun Feb 25 17:22:21 GMT 2024","0","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Sun Feb 25 17:22:22 GMT 2024","Sun Feb 25 17:22:22 GMT 2024","34","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testLandingURL","testLandingURL",""
"passed","Sun Feb 25 17:22:24 GMT 2024","Sun Feb 25 17:22:27 GMT 2024","2294","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Feb 25 17:23:09 GMT 2024","Sun Feb 25 17:23:10 GMT 2024","275","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"skipped","Sun Feb 25 17:22:21 GMT 2024","Sun Feb 25 17:22:21 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"skipped","Sun Feb 25 17:23:23 GMT 2024","Sun Feb 25 17:23:23 GMT 2024","0","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"passed","Sun Feb 25 17:22:52 GMT 2024","Sun Feb 25 17:22:52 GMT 2024","435","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
